City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
224,Andenes,NO,2021-09-28 07:56:44,69.3143,16.1194,58.46,67,0,4.61
225,Arraial do Cabo,BR,2021-09-28 07:56:45,-22.9661,-42.0278,70.86,91,3,20.0
226,Colonelganj,IN,2021-09-28 07:56:45,27.1333,81.7,89.55,63,100,9.73
227,Comodoro Rivadavia,AR,2021-09-28 07:56:33,-45.8667,-67.5,49.86,43,0,20.71
228,Vostok,RU,2021-09-28 07:56:46,46.4856,135.8833,58.77,82,64,2.46
229,Puerto Escondido,MX,2021-09-28 07:56:46,15.85,-97.0667,77.99,83,97,4.45
230,Saldanha,ZA,2021-09-28 07:56:47,-33.0117,17.9442,59.05,62,0,12.39
231,Noumea,NC,2021-09-28 07:56:47,-22.2763,166.4572,67.98,76,84,12.59
232,Sorong,ID,2021-09-28 07:56:48,-0.8833,131.25,81.5,82,100,4.94
233,Spornoye,RU,2021-09-28 07:56:48,50.8448,37.2913,50.02,76,100,10.87
234,Suntar,RU,2021-09-28 07:56:49,62.1444,117.6319,41.05,63,79,9.86
235,Talnakh,RU,2021-09-28 07:54:38,69.4865,88.3972,39.33,48,23,3.11
236,Bonfim,BR,2021-09-28 07:56:49,3.0833,-59.95,74.88,85,0,3.96
237,Almaznyy,RU,2021-09-28 07:56:50,48.0448,40.045,57.34,61,18,9.33
238,Chokurdakh,RU,2021-09-28 07:54:44,70.6333,147.9167,27.37,95,96,16.06
239,Cockburn Town,TC,2021-09-28 07:52:17,21.4612,-71.1419,82.8,72,100,9.04
240,Fortuna,US,2021-09-28 07:56:50,40.5982,-124.1573,53.19,75,90,0.0
241,Mujiayingzi,CN,2021-09-28 07:56:51,42.1167,118.7833,70.84,54,20,11.54
242,Solnechnyy,RU,2021-09-28 07:56:51,50.7214,136.6319,61.61,71,99,5.32
243,Idrinskoye,RU,2021-09-28 07:56:52,54.3708,92.1358,44.26,55,89,2.84
244,Bara,NG,2021-09-28 07:56:52,10.3744,10.7288,79.92,76,100,10.63
245,Shingū,JP,2021-09-28 07:56:53,33.7333,135.9833,77.99,78,47,9.69
